Bulunduğu semt,Toplama alanının ismi,Telefon numarası,Konum Bilgisi,Müsaitlik Durumu,Müsaitlik Durumu Güncelleme Tarihi,Gereken Yardım Türü
Bahçelievler,Bahçelievler Belediyesi Kongre ve Nikah Sarayı Kapalı Otoparkı,444 0 311,https://goo.gl/maps/AZbiaFTobjWRbKe47,,,
Bahçelievler,Erkan Avcı Meslek Lisesi,2124414221,https://goo.gl/maps/Zzu3x19UgJA7JFQo8,İHTİYAÇ VAR,,
Bahçelievler,Zafer Mahalle Evi,0212 449 74 33,https://goo.gl/maps/u5PbcjAeh2Bf7WRH6,İHTİYAÇ YOK,,
Bahçelievler,Kumport Ortaokulu,(0212) 442 24 05,https://goo.gl/maps/5nDKenVaJi5SkxwH8,,,
Bahçelievler,Hasan Doğan Spor Kompleksi,2124742583,https://goo.gl/maps/DgP7EVH4PwCx26ps9,TAŞIMA İÇİN YARDIMA İHTİYAÇ VAR,,
Bahçelievler,Bahçelievler İSADEM,,https://goo.gl/maps/XF4nEAntR8mRQLYD8,,,
Bahçelievler,Zafer Mahalle Evi,,,,,
Bahçelievler,Bahçelievler Sosyal Hizmet Noktası,2124416701,https://goo.gl/maps/osMETeqVapqJH56J9,,,
Bahçeşehir,Galleria AVM,,https://goo.gl/maps/aXkzF9vUvBXoozto8,Saat 21 e kadar yükleme işlemleri kademi olarak yapılacaktır. ,,
Bakirköy,Bakırköy Cem Karaca Kültür Merkezi,2123126366,https://goo.gl/maps/cEZ2KuvqWZgwy5C17,,,
Bakirköy,Bakırköy İSADEM,,https://goo.gl/maps/qBuChua5j6WEZjA58,,,
Bakırköy,Atatürk Spor ve Yaşam Köyü Kapalı Spor Salonu,(0212) 414 96 32,https://goo.gl/maps/LEUS9ZnqyQpMXu2z9,DOLU,,
Bakırköy,Gençlik ve Spor İlçe Müdürlüğü,,https://goo.gl/maps/2MSj9Kuo9XpjhKWt5,YARDIMA İHTİYAÇ VAR (Malzeme toplama yapılıyor),,
Bakırköy,Şenlikköy İlköğretim Okulu,(0212) 663 50 07,https://goo.gl/maps/P5WcnrCHGP3CWGuFA,,,
Bakırköy,İstanbul Büyükşehir Belediyesi Kadın Koordinasyon Merkezi,4440093,https://goo.gl/maps/d6JGyb6Rfun1ygaTA,,,
Başakşehir,Başakşehir Sosyal Hizmet Merkezi,(0212) 687 10 42,https://goo.gl/maps/ubVPqqwmpxJBDk9WA,DOLU,,
Başakşehir,başakpazar fuar ve sergi alanı,444 0 669,https://maps.app.goo.gl/Ae6b9aAF4RTxm4MKA?g_st=ic,8 ŞUBAT 09.00-21.00 ARASI YARDIM (BEBEK MAMASI VE BEZ LAZIM),,
Başakşehir,kayaşehir fuar ve sergi alanı,444 0 669,https://maps.app.goo.gl/diLZrsU4e6ykrh1m8?g_st=ic,DOLU,,
Başakşehir,Pazartürk fuar ve sergi alanı,444 0 69,https://maps.app.goo.gl/jZzUAdrHkUweShg16?g_st=ic,21 e kadar tır yüklemeleri kademeli olarak yapılıcaktır. ,,
Başakşehir,Kızılay Başakşehir,(0212) 487 00 30,https://goo.gl/maps/ztCHVCVuxCSo2Mka8,DOLU,,
Başakşehir,Fahredin Paşa Camii,,,14.00'TE BAŞLAYACAK,,
