Bulunduğu semt,Toplama alanının ismi,Telefon numarası,Konum Bilgisi,Müsaitlik Durumu,Müsaitlik Durumu Güncelleme Tarihi,Gereken Yardım Türü
Maltepe,Maltepe Yalçın Kızılay Spor Kompleksi,(0216) 305 73 62,https://goo.gl/maps/qPYt6Qtt1NcQa3Xw9,9 ŞUBAT SABAH ÖĞLEN YARDIM LAZIM,,
Maltepe,Prof. Dr. Türkan Saylan Kültür Merkezi, (0216) 589 36 00,https://maps.app.goo.gl/tzaD822bRVwuP23k7,,,
Maltepe,Şehit Sevgi Yeşilyurt İmam Hatip Ortaokulu,(0216) 459 62 63,https://goo.gl/maps/PHo1bRPkGPgSnJqaA,,,
Maltepe,Müzahir Sille Kompleksi,(0216) 367 42 33,https://goo.gl/maps/pFvAn83nNCQwfv6FA,,,
Maltepe,Maltepe İlçe Spor Salonu,0552 586 15 12,https://goo.gl/maps/amNpxevYdrd6DWAu9,SABAH 6 GİBİ TIR GELECEK TAŞIYACAK KİŞİ LAZIM,,
Maltepe,Muzaffer İzgü Kütüphanesi,0212 249 09 45,https://goo.gl/maps/yzUGhBLnw4m316kV9,,,
Maltepe,Maltepe Üniversitesi Diş Hekimliği Fakültesi,216 7775000,https://goo.gl/maps/Hp7BDtr31d1eQt3DA,KOLİ YARDIMI LAZIM ,,
Maltepe ,Maltepe Kız Anadolu İmam Hatip Lisesi,(0216) 441 22 25,https://maps.app.goo.gl/fXBpmixfqpxzvWjz5,,,
Maltepe ,Mahir Okulları,0532 272 83 15,https://goo.gl/maps/YDzmoToGnPhepzEh6,,,
Mustafa Kemal Kültür Merkezi (MKM),Bahçeşehir Üniversitesi,2123810000,https://goo.gl/maps/exKtUcMSpRVyLC787,İHTİYAÇ BULUNMAKTADIR,,
Pendik,Şehit Yalçın Aran Spor Kompleksi,444 81 80,https://goo.gl/maps/9sAbsxVJx43vF2vR7,,,
Pendik,Kurtköy Sülüntepe Spor Kompleksi,444 81 80,https://goo.gl/maps/pFL7zXbQqNwCh55p7,,,
Pendik,İBB Kurtköy Spor Kompleksi,(0216) 586 57 29,https://goo.gl/maps/EcF7AqtVq5kYUq8KA,,,
Pendik,Esenyalı Kadın Dayanışma Dernegi,-,https://goo.gl/maps/rrhDgibCoToXg5oL9,,,
Pendik,Pendik Kılıçarslan Ortaokulu,(0216) 375 38 26,https://goo.gl/maps/Ci6awF5LLb793FmbA,9 ŞUBAT SABAH TIRA KOLİ YÜKLEMEK İÇİN YARDIMA İHTİYAÇ VAR,,
Pendik,Hasan İzzettin Dinamo Kütüphanesi,0212 249 95 65,https://goo.gl/maps/teauib9RuybTg5bg9,İHTİYAÇ YOK,,
Pendik,Pendik İSADEM,2163907139,https://goo.gl/maps/kPNK5y6HR1wU4oJd9,,,
Pendik,Pendik Sosyal Hizmet Merkezi,2165061008,https://goo.gl/maps/mhw2LkyxaHBVA3BN6,,,
Sancaktepe,Necmettin Erbakan Külliyesi,(0216) 561 20 42,https://goo.gl/maps/d9dygRuTwQcFyu5T8,KOLİ TAŞINMASI ADINA İHTİYACI VAR,,
Sancaktepe,Sancaktepe Eyüpsultan Kültür Merkezi,216 5865738,https://goo.gl/maps/SUvXiLZ4reLTQiEu9,,,
Sancaktepe,Sancaktepe İSADEM,2165865514,https://goo.gl/maps/pGxsL9itR143bi5H9,,,
Sancaktepe,Halk Süt Deposu-Eşya Desteği,,https://goo.gl/maps/aXESgTs3rZ2c9BCB8,,,
Sancaktepe,Mustafa Öncel Spor Kompleksi,0 216 498 73 48,https://goo.gl/maps/TSgmwDHtUoe35K1x5,,,
Sancaktepe - Sarigazi,Yaşar Kemal Kütüphanesi,0216 586 57 77,https://goo.gl/maps/tq6EzyuiqVHk27nc9,,,
Sarıyer,Sarıyer Belediyesi,444 1 722,https://goo.gl/maps/vUgzJN5oApRM7PaB6,Yiyicek ihtiyacı bulunmaktadır ,,
Sarıyer,Galatasaray NEF Stadyumu,(0212) 305 19 05,https://goo.gl/maps/MiAbV4MGcsqCuFYe7,DIŞARIDAN GİRİŞ YASAK,,
Şile,Şile Kültür Merkezi,216 5865735,https://goo.gl/maps/nQno39ZpmoKjAGK86,,,
Silivri,Silivri Selimpaşa Çem,,,,,
Silivri,Silivri Selimpaşa ÇEM,ALO 153,Selimpaşa mahallesi 2090 Sok. kapı No:1/2 Silivri/İST.,,,
Şişli,Şişli Belediye Binası,444 31 12,https://goo.gl/maps/twkV9s7xeob4,İHTİYAÇ VAR 7/24 AÇIK,,
Şişli,Şişli Atatürk Ortaokulu,(0212) 222 84 40,https://goo.gl/maps/2oHnw9D4nCtVBdct7,YARDIM LAZIM,,
Şişli,Profilo Alışveriş Merkezi,0212 216 44 00,https://www.google.com/maps?q,DOLU,,
Şişli,Şehit Murat Demirci Ortaokulu,,,YARDIM LAZIM DEĞİL,,
Şişli,Habitat Yaşam Merkezi Kütüphanesi,0212 249 95 65,https://goo.gl/maps/d8itZiDorjzhQMyd7,,,
Şişli,Atatürk Müzesi Kütüphanesi,0212 249 95 65,https://goo.gl/maps/k6RhuzUa1saLorYA8,Tüm ÇEM'lerin açık adresleri: https://yuvamiz.ibb.istanbul/yerleskeler,,
Sultanbeyli,Sultanbeyli Kapalı Spor Salonu,(0216) 564 45 64,https://goo.gl/maps/xqoWM58qJQj7h8sh8,,,
Sultanbeyli,Sultanbeyli Çok Programlı Anadolu Lisesi,(0216) 592 29 53,https://goo.gl/maps/56pVGmV1quAhUd2a8,,,
Sultanbeyli,Ali Kuşçu İmam Hatip Ortaokulu,(0216) 592 88 55,https://goo.gl/maps/EHXdJQ8znELqcP2W9,,,
Sultanbeyli,Sultanbeyli Prof. Dr. Necmettin Erbakan Kültür Merkezi,216 5865737,https://goo.gl/maps/ZZruyyhPjW5Y7qzdA,,,
Sultanbeyli,Prof.Dr. İlhan Varank Kütüphanesi,2164961371,https://goo.gl/maps/Po6RpfuDHs1fbs3j8,,,
Sultanbeyli,Kemal Tahir Kütüphanesi,0216 483 20 86,https://goo.gl/maps/FeeJsJ7amReEPNha9,PENDİK BELEDİYESİ İLE ORTAK ÇALIŞIYOLAR İHTİYAÇLARI BULUNMAMAKTADIR,,
Sultanbeyli,Sultanbeyli İSADEM,,https://goo.gl/maps/iedNYAdxFvAkDBLK6,,,
Sultanbeyli,Akşemsettin İlkokulu,-,https://goo.gl/maps/ySWAYjgm3qCCvxni7,,,
Sultanbeyli,Kaptan-ı Derya İlkokulu,(0216) 592 75 37),https://goo.gl/maps/aztgz3uBm512oeHc7,HERHANGİ BİR İHTİYAÇLARI BULUNMAMAKTA,,
Sultanbeyli,Ahmet Haluk Dursun İlkokulu,(0216) 759 55 44,https://goo.gl/maps/2xaeYct5CGbRjnJT6,,,
Sultanbeyli,Sultanbeyli Çok Programlı Anadolu Lisesi,(0216) 592 29 53,https://goo.gl/maps/2rKM8ogWjffTeNzf6,,,
Sultanbeyli,İTO Şehit Er Dursun Sıvaz İlkokulu,(0216) 487 17 33,https://goo.gl/maps/JguyJWMMyv4w5Nss8,,,
Sultanbeyli,Hüsnü M. Özyeğin Anadolu Lisesi,(0216) 419 33 11,https://goo.gl/maps/kMw2iMNaPtMZZ8wG7,,,
Sultanbeyli,Anafartalar İmam Hatip Ortaokulu,(0216) 398 00 32,https://goo.gl/maps/cVe93VgPFAgcBwyQ9,,,
Sultanbeyli,Ahmet Yesevi İlkokulu,(0216) 398 47 75,https://goo.gl/maps/q1oqx2LowUJtNdz36,,,
Sultanbeyli,Mimar Sinan İlkokulu,(0216) 669 10 14,https://goo.gl/maps/8gMB7eMHCCzoNwz66,,,
Sultanbeyli,Hasan Ali Yücel Ortaokulu,0552 966 48 58,https://goo.gl/maps/QCQUwkiwv2Kp8bZ29,,,
Sultanbeyli,Yahya Kemal Beyatlı M.T.A.L,(0216) 497 30 00,https://goo.gl/maps/HUXGtRBnxiwLnC9a8,,,
Sultanbeyli,Orhangazi Anadolu İmam Hatip Lisesi,(0216) 487 57 09,https://goo.gl/maps/i8nh6eqA7kHnnNS49,,,
Sultanbeyli,Turgut Reis İlkokulu,(0216) 419 23 20,https://goo.gl/maps/cranddeHaDpgQm6U8,,,
Sultanbeyli,Yaşar Paşalı İlkokulu,(0216) 497 31 04,https://goo.gl/maps/6H6TL6EtbnVDFzke7,,,
Sultangazi,Sultangazi Sosyal Hizmet Merkezi,(0212) 650 05 68,https://goo.gl/maps/HVpax6EoR8eNpb6v8,,,
Sultangazi,Sultnagazi Belediyesi Toplum ve Ruh Sağlığı merkezi,,https://www.google.com/maps/,,,Sabah 10 - Akşam 10 çalışıyor
Sultangazi,Özdemir Bayraktar Kültür Merkezi,,,DOLU,,
Sultangazi,Hacı Bektaş-i Veli Kütüphanesi,,https://goo.gl/maps/dmqgurLjEWVfQYJNA,,,
Sultangazi,Ahmed Arif Kütüphanesi,,https://goo.gl/maps/db1hEhVN1rgC5qiz8,,,
Sultangazi,Sultangazi İSADEM,2124593434,https://goo.gl/maps/RCtDWwas1gEPjG5h7,,,
Sultangazi,Sultangazi Sosyal Hizmet Merkezi,,https://goo.gl/maps/DYpYa8ebNoquUkjT6,,,
Teşvikiye,Nilüfer Hatun Ortaokulu,2122474313,https://goo.gl/maps/ejdcrEDGB38QDhJy9,BİTTİ,,
Tuzla,Tuzla Yayla Çem,153 aranarak ulaşılır,Yayla Mah. Bilgenur Sok. No: 3 Yayla / TUZLA İSTANBUL,,,
Tuzla,Tuzla İdris Güllüce Kültür Merkezi,216 5865739,https://goo.gl/maps/mEzkiN8pKuVhsXMr9,,,
Tuzla,İdris Güllüce Kütüphanesi,2165865721,https://goo.gl/maps/rsP3NiXXgNbZW8uH7,,,
Tuzla,Tuzla Yayla ÇEM,ALO 153,Yayla Mah. Bilgenur Sk. No: 3 Yayla / TUZLA,,,
Tuzla,Halk Süt Deposu,,https://goo.gl/maps/aCVpaJARtGaZr8bM6,,,
Ümraniye,Ümraniye Belediyesi Kapalı Pazar Alanı,-,https://maps.app.goo.gl/wL1rijrCSJVzS8kHA,DOLU,,
Ümraniye,Ümraniye Şehit Kaymakam M. Fatih Safitürk Kültür Merkezi,216 5865736,https://goo.gl/maps/tPKAmv4pu2KCnfy6A,,,
Ümraniye,A.Süheyl Ünver Kütüphanesi,2166344422,https://goo.gl/maps/M2fqZGTmHcxUGo749,,,
Ümraniye,Nail-Nimet Bayraktar Kütüphanesi,2163289033,https://goo.gl/maps/jzcWzrAjtkg1ccZs9,,,
Ümraniye,Ümraniye İSADEM,2164208565,https://goo.gl/maps/RaGuqiXsaJJd7cNn9,Personelleri yeterli düzeyden burdan da Yenikapı ve Kartal Lojistike 153 ile yönlendirme yapılıyor. ,,
Ümraniye,Haldun Alagaş Spor Salonu,2165865727,https://goo.gl/maps/Anv5WRAjWVwscJUv9,DOLU,,
Üsküdar,Üsküdar-Çengelköy İSADEM,2165865781,https://goo.gl/maps/jfFMQW5jkqFzMqKm7,,,
Üsküdar,Çengelköy Mahalle Evi,0212 449 74 62,Çengelköy Mahallesi İmamı Azam Cami Sokak No: 10 Üsküdar,,,
Üsküdar,Ibb Anadolu Yakası Sosyal Hizmetler Müdürlüğü,,https://goo.gl/maps/cq2fbfnmAEn7Kjsk8,,,
Üsküdar,Idari Bina,,https://goo.gl/maps/NMSQrCL26Km6V2w76,,,
Üsküdar,Muhsin Yazıcıoğlu Spor Kompleksi,,,YARDIMA AÇIK,,
Üsküdar ,Üsküdar Belediyesi,444 0 875 ,https://goo.gl/maps/cvNGoPP2ZHv96dGC6,DOLU,,
Üsküdar ,Üsküdar Türkan Sabancı görme engelliler okulu,(0216) 651 50 02,https://goo.gl/maps/yrkrhoCGkRK4EMGM7,DOLU,,
Üsküdar ,Çengelköy Mahalle Evi,(0212) 449 74 62,https://goo.gl/maps/jzkMdvktRR8HtSyQ7,,,Gıda
Üsküdar ,Çavuşdere Spor Sarayı,4440875,https://goo.gl/maps/1KAxwVUpWT1akq6a9,DOLU,,https://docs.google.com/forms/d/e/1FAIpQLSdquzlRnWl_ANgsP0en7O4tKn0dQMBzxtBMxUJk5VknUCLSMg/viewform
Üsküdar ,Üsküdar Belediyesi Kirazlıtepe Boğaziçi Yaşam Merkezi,0216 532 53 68,https://www.google.com/maps/place/%C3%,YOĞUN ,,
Üsküdar ,Bağlarbaşı Kongre ve Kültür Merkezi,(0216) 531 30 00,https://goo.gl/maps/sFgfbmVeEdPgqKgS8,8 ŞUBAT GECE 12YE KADAR (9 ŞUBATA BAĞLAYAN GECE) TAŞIMA İÇİN YARDIMA İHTİYAÇ VAR ,,
Yenikapı,İBB Yenikapı Yardım Toplama Merkezi (Dr. Mimar Kadir Topbaş Gösteri Merkezi) (Avrasya Gösteri ve Sanat Merkezi),(0212) 587 38 45,https://goo.gl/maps/m3GsixXMNQgA8jqN7 (YANDAKİ FORMLA GİDİLİYOR),TAŞIMA İÇİN KAS GÜCÜNE İHTİYAÇ VAR,,
Zeytinburnu,Zeytinburnu İSADEM,,https://goo.gl/maps/NkPe1QaeWT4Wtzrg7,,,
Kadıköy,Nazım Hikmet Kültür Merkezi,2164142239,https://goo.gl/maps/9Lna28zqYmzebp3L9,TAŞIMA İHTİYACI VAR,,
